step,critic_loss,actor_loss,tau
0,4.257775,0.013739,0.005000
10,3.722333,-0.324482,0.005000
20,1.714647,-0.965617,0.005000
30,1.071390,-1.739740,0.005000
40,0.518490,-2.464398,0.005000
50,0.407667,-2.872051,0.005000
60,0.367076,-3.452480,0.005000
70,0.196188,-3.967386,0.018065
80,0.618508,-5.881814,0.034622
90,0.642965,-6.040313,0.005000
100,0.550380,-6.003908,0.005000
110,0.813739,-6.269891,0.005000
120,0.716370,-6.663255,0.005000
130,0.746968,-6.317822,0.005000
140,0.754541,-6.828217,0.005000
150,0.876019,-7.069930,0.005000
160,1.097689,-6.725965,0.005000
170,0.818148,-6.975131,0.005000
180,0.848575,-6.910999,0.005000
190,1.051931,-6.884393,0.005000
200,1.289906,-7.317721,0.005000
210,0.968728,-7.082664,0.005000
220,1.034835,-6.843931,0.005000
230,0.775807,-6.966505,0.005000
240,1.120924,-6.958846,0.005000
250,1.165608,-7.153058,0.005000
260,1.092759,-7.336603,0.005000
270,1.649407,-7.452921,0.005000
280,1.107119,-7.466803,0.005000
290,0.977128,-7.391152,0.005000
300,0.901326,-7.060330,0.005000
310,0.933611,-8.216309,0.005000
320,0.909314,-7.536169,0.005000
330,0.978043,-8.109625,0.005000
340,0.988759,-7.423926,0.005000
350,0.953204,-8.198021,0.005000
360,1.362676,-8.326069,0.005000
370,1.810255,-8.095075,0.005000
380,0.958094,-8.136909,0.005000
390,1.229923,-8.273826,0.005000
400,0.635053,-8.217983,0.005000
410,1.362195,-8.642416,0.005000
420,1.579247,-8.417608,0.005000
430,1.851842,-8.541918,0.005000
440,1.040501,-8.852991,0.005000
450,1.399405,-8.473491,0.005000
460,1.701515,-8.764348,0.005000
470,1.352368,-9.257257,0.005000
480,1.358907,-8.847803,0.005000
490,1.542590,-8.752663,0.005000
500,1.123164,-8.877419,0.005000
510,1.468280,-8.894935,0.005000
520,1.082813,-8.673388,0.005000
530,0.752696,-9.155205,0.005000
540,1.519591,-8.919704,0.005000
550,1.504782,-8.961393,0.005250
560,1.645605,-8.674418,0.005000
570,1.234591,-9.534191,0.005000
580,1.044688,-9.283638,0.005000
590,1.056545,-9.365577,0.005000
600,1.127871,-9.308229,0.005000
610,1.660290,-9.368141,0.005000
620,1.347498,-9.487532,0.005000
630,1.112876,-9.423781,0.005000
640,0.937093,-9.375607,0.005000
650,0.991066,-9.590415,0.005000
660,1.289941,-9.738732,0.005000
670,0.637219,-9.797859,0.005000
680,1.000429,-9.724028,0.005000
690,1.789905,-9.483782,0.005000
700,1.291019,-9.938011,0.005000
710,2.153259,-9.642387,0.005000
720,0.584176,-10.071798,0.005000
730,1.058220,-9.875614,0.005000
740,0.966293,-10.162550,0.005000
750,0.784862,-9.822176,0.005000
760,0.898056,-10.197556,0.005000
770,1.310069,-10.143023,0.005000
780,0.790994,-10.284817,0.005000
790,0.899131,-10.095204,0.005000
800,1.197572,-10.024778,0.005000
810,0.981595,-11.180651,0.005000
820,0.994536,-10.586891,0.005000
830,1.439187,-10.986549,0.005000
840,0.971405,-11.017412,0.005000
850,0.919608,-10.848707,0.005000
860,0.955717,-10.697181,0.005000
870,1.203277,-10.777525,0.005000
880,0.906613,-11.558125,0.005000
890,1.258556,-11.596966,0.005000
900,1.314345,-11.515321,0.005000
910,0.518122,-11.609713,0.005000
920,0.806624,-11.503471,0.005000
930,1.074283,-11.477772,0.005000
940,1.416890,-11.878708,0.005000
950,0.893833,-11.973273,0.005000
960,2.009390,-11.955139,0.005000
970,0.719274,-12.124863,0.005000
980,1.166746,-12.057830,0.005000
990,1.239859,-11.807177,0.005000
1000,0.926778,-12.185839,0.005000
1010,1.259299,-12.507912,0.005000
1020,1.102038,-12.629135,0.005000
1030,1.135351,-12.766678,0.005000
1040,1.128241,-12.559847,0.005000
1050,1.358169,-12.304943,0.005000
1060,1.200449,-12.522203,0.005000
1070,1.405758,-12.969964,0.005000
1080,1.578462,-12.794260,0.005000
1090,0.679796,-13.137895,0.005000
1100,1.735031,-12.958345,0.005000
1110,0.919301,-13.244525,0.005000
1120,1.393824,-13.382341,0.005000
1130,1.055758,-13.511940,0.005000
1140,0.974247,-13.164587,0.005000
1150,1.839888,-13.824151,0.005000
1160,1.026847,-13.843854,0.005000
1170,1.133913,-13.513237,0.005000
1180,1.088574,-13.875237,0.005000
1190,1.055463,-13.516627,0.005000
