step,critic_loss,actor_loss,tau
0,4.216932,0.008092,0.005000
10,3.216370,-0.334583,0.005000
20,1.526041,-0.995627,0.005000
30,0.906550,-1.715495,0.005000
40,0.474745,-2.516004,0.005000
50,0.351571,-2.914858,0.005000
60,0.366996,-3.442399,0.005000
70,0.293382,-3.784671,0.005000
80,0.316413,-4.088509,0.005000
90,0.170650,-4.244847,0.005000
100,0.145303,-4.427984,0.005000
110,0.213900,-4.714252,0.005000
120,0.267593,-5.156165,0.005000
130,0.299778,-5.062369,0.005000
140,0.358384,-5.398464,0.005000
150,0.433354,-5.796634,0.005000
160,0.574626,-5.823808,0.005000
170,0.372223,-5.953400,0.005000
180,0.507132,-5.975999,0.005000
190,0.751222,-5.921391,0.005000
200,0.652467,-6.474993,0.005000
210,0.659924,-6.376346,0.005000
220,0.755311,-6.186328,0.005000
230,0.611475,-6.581670,0.005000
240,1.176921,-6.397774,0.005000
250,1.216822,-6.781744,0.005000
260,1.204733,-6.448287,0.005000
270,1.627696,-6.842973,0.005000
280,0.902777,-7.020930,0.005000
290,0.677809,-6.708917,0.005000
300,1.257857,-6.143979,0.005000
310,1.023575,-7.762516,0.005000
320,0.870002,-7.050248,0.005000
330,1.161530,-7.716300,0.005000
340,1.133288,-7.023806,0.005000
350,1.092792,-8.295139,0.005000
360,1.054924,-8.236752,0.005000
370,1.444527,-7.974267,0.005000
380,1.344143,-7.978628,0.005000
390,1.465367,-8.178967,0.005000
400,0.951462,-8.351557,0.005000
410,0.985211,-8.897011,0.005000
420,1.295765,-8.487656,0.005000
430,1.325979,-8.629001,0.005000
440,1.255897,-8.491234,0.005000
450,1.613388,-8.803107,0.005000
460,1.403934,-8.694395,0.005000
470,0.834582,-9.375780,0.005000
480,1.873946,-9.048875,0.005000
490,1.758066,-8.885133,0.005000
500,0.803167,-8.998528,0.005000
510,1.601915,-9.132109,0.005000
520,1.173026,-8.842199,0.005000
530,1.259198,-9.213559,0.005000
540,1.229185,-9.344947,0.005000
550,1.612618,-9.065514,0.005000
560,1.069271,-9.121861,0.005000
570,1.396329,-10.002647,0.005000
580,1.187066,-9.342201,0.005000
590,1.239413,-9.290031,0.005000
600,1.033016,-9.258398,0.005000
610,1.335015,-9.519491,0.005000
620,1.247681,-9.313439,0.005000
630,0.822617,-9.568529,0.005000
640,0.552274,-9.745007,0.005000
650,0.981601,-9.678321,0.005000
660,1.365480,-9.650259,0.005000
670,1.320528,-9.687499,0.005000
680,1.252097,-9.696085,0.005000
690,1.020046,-9.642826,0.005000
700,1.146631,-10.069702,0.005000
710,1.327562,-9.709274,0.005000
720,0.977690,-10.171192,0.005000
730,1.157817,-9.738817,0.005000
740,1.039487,-10.076458,0.005000
750,0.926251,-9.832958,0.005000
760,1.185354,-9.905756,0.005000
770,0.961973,-10.453964,0.005000
780,1.197998,-9.869673,0.005000
790,0.908266,-10.189661,0.005000
800,0.989756,-10.023537,0.005000
810,0.868704,-11.016854,0.005000
820,0.754724,-10.463728,0.005000
830,0.759007,-10.809684,0.005000
840,0.895070,-10.848425,0.005000
850,0.915872,-10.471294,0.005000
860,0.657922,-10.619724,0.005000
870,0.933871,-10.831269,0.005000
880,1.165056,-11.159238,0.005000
890,1.221514,-11.423295,0.005000
900,0.738680,-11.466660,0.005000
910,0.633970,-11.061306,0.005000
920,0.729771,-11.546429,0.005000
930,0.907975,-11.072049,0.005000
940,1.009809,-11.708916,0.005000
950,0.968185,-11.531389,0.005000
960,1.860316,-11.567442,0.005000
970,1.297456,-11.996871,0.005000
980,1.209864,-12.008183,0.005000
990,1.329628,-12.170345,0.005000
1000,1.207457,-12.027798,0.005000
1010,1.283654,-12.421574,0.005000
1020,1.384018,-12.169868,0.005000
1030,0.913667,-12.337611,0.005000
1040,1.161546,-12.149659,0.005000
1050,1.177703,-12.303782,0.005000
1060,1.325313,-12.510843,0.005000
1070,0.823293,-12.568894,0.005000
1080,0.828149,-12.841454,0.005000
1090,0.891247,-12.756691,0.005000
1100,1.352500,-12.627068,0.005000
1110,0.563929,-12.920593,0.005000
1120,0.784195,-13.216579,0.005000
1130,0.673058,-13.350936,0.005000
1140,1.211704,-13.226957,0.005000
1150,1.816906,-13.779012,0.005000
1160,1.136721,-13.675215,0.005000
1170,1.242711,-13.470289,0.005000
1180,0.917347,-13.628777,0.005000
1190,1.250542,-13.200512,0.005000
