step,critic_loss,actor_loss,tau
0,0.891949,0.014617,0.005000
10,0.512460,-0.005372,0.005000
20,0.388272,-0.130727,0.005000
30,0.324753,-0.299929,0.005000
40,0.178254,-0.555654,0.008640
50,0.145933,-0.743419,0.200000
60,0.131429,-0.886444,0.200000
70,0.114985,-0.858879,0.200000
80,0.232091,-0.978875,0.191667
90,0.085127,-0.914830,0.200000
100,0.079688,-1.046413,0.200000
110,0.096090,-1.019871,0.200000
120,0.137318,-1.300726,0.200000
130,0.075000,-0.988793,0.200000
140,0.104780,-1.113805,0.200000
150,0.091028,-1.240664,0.200000
160,0.119877,-1.458628,0.200000
170,0.062024,-1.259443,0.200000
180,0.115851,-1.299312,0.200000
190,0.085693,-1.213665,0.200000
200,0.149273,-1.237516,0.200000
210,0.062200,-1.219719,0.200000
220,0.084168,-1.226190,0.200000
230,0.073100,-1.238902,0.200000
240,0.043224,-1.107041,0.200000
250,0.074212,-1.386574,0.200000
260,0.056432,-1.473668,0.200000
270,0.081240,-1.438111,0.200000
280,0.068215,-1.864186,0.200000
290,0.047590,-1.466360,0.200000
300,0.091660,-1.559036,0.200000
310,0.117429,-2.075342,0.200000
320,0.112090,-1.904442,0.200000
330,0.162261,-1.918134,0.200000
340,0.187422,-1.856991,0.191667
350,0.319477,-3.326950,0.110918
360,0.665806,-4.550623,0.034185
370,0.483112,-4.562452,0.005000
380,0.443418,-4.380441,0.005000
390,0.401264,-4.115326,0.005000
400,0.448025,-4.049846,0.005000
410,0.278870,-4.438275,0.005250
420,0.463323,-4.577107,0.005000
430,0.595856,-4.439754,0.005250
440,0.623089,-4.403157,0.005000
450,0.424199,-4.198006,0.005000
460,0.510436,-4.023093,0.005250
470,0.498012,-5.051384,0.005250
480,0.616786,-4.565121,0.005000
490,1.127548,-5.226837,0.005000
500,0.614857,-5.090330,0.005000
510,0.534187,-5.226555,0.005000
520,0.801250,-4.789579,0.005000
530,0.613993,-5.367609,0.005000
540,0.325947,-5.079100,0.005500
550,0.811959,-4.965910,0.005000
560,0.730218,-5.033314,0.005000
570,0.637822,-5.277004,0.005000
580,0.692656,-4.889442,0.005000
590,0.512413,-4.834292,0.005000
600,0.438715,-4.707619,0.005000
610,0.421032,-5.080500,0.005500
620,0.602073,-4.856507,0.005000
630,0.875190,-5.373389,0.005000
640,0.535655,-4.889762,0.005000
650,0.522846,-5.043528,0.005000
660,0.401732,-5.331890,0.005000
670,0.503619,-5.140736,0.005000
680,0.345788,-4.891156,0.005800
690,0.562795,-4.935220,0.005000
700,0.381883,-5.305192,0.005000
710,0.631608,-5.276391,0.005000
720,0.515227,-5.009660,0.005000
730,0.417124,-4.983603,0.005500
740,0.445261,-4.789868,0.005000
750,0.377974,-4.789069,0.005000
760,0.362242,-4.815448,0.005000
770,0.514695,-4.938851,0.005000
780,0.295195,-4.613469,0.005000
790,0.227902,-4.662854,0.006350
800,0.453020,-4.564150,0.005500
810,0.373880,-4.947434,0.005000
820,0.423231,-4.606215,0.005000
830,0.438549,-4.678421,0.005000
840,0.471595,-4.688146,0.005000
850,0.247845,-4.323376,0.009936
860,0.246298,-4.448942,0.006000
870,0.240031,-4.476657,0.006050
880,0.332492,-4.476786,0.008280
890,0.453621,-4.404293,0.026014
900,0.264077,-4.576344,0.023649
910,0.290161,-4.201435,0.061521
920,0.112396,-3.438917,0.200000
930,0.140829,-2.952521,0.200000
940,0.186827,-3.134201,0.200000
950,0.146786,-3.550418,0.200000
960,0.263880,-3.475948,0.200000
970,0.162156,-3.908440,0.200000
980,0.159776,-3.459840,0.200000
990,0.174520,-3.363826,0.200000
1000,0.167184,-3.214431,0.200000
1010,0.127775,-3.312682,0.200000
1020,0.137777,-3.279368,0.200000
1030,0.149477,-3.387053,0.200000
1040,0.091403,-3.256341,0.200000
1050,0.072754,-2.979604,0.200000
1060,0.198764,-3.293705,0.191667
1070,0.173429,-3.162923,0.200000
1080,0.248265,-3.518680,0.200000
1090,0.111439,-3.172771,0.200000
1100,0.118499,-3.098359,0.200000
1110,0.097255,-3.137794,0.200000
1120,0.148319,-3.497842,0.200000
1130,0.155178,-3.264391,0.200000
1140,0.140848,-2.939291,0.200000
1150,0.101294,-3.297262,0.200000
1160,0.129453,-3.335763,0.200000
1170,0.150568,-3.163047,0.200000
1180,0.063000,-2.735968,0.200000
1190,0.238787,-2.965322,0.191667
