step,critic_loss,actor_loss,tau
0,0.849485,0.007386,0.005000
10,0.471780,-0.004401,0.005000
20,0.383817,-0.119038,0.005000
30,0.260604,-0.304669,0.005000
40,0.218839,-0.554974,0.005000
50,0.179643,-0.600698,0.005000
60,0.336987,-0.684316,0.005000
70,0.149717,-0.665039,0.005000
80,0.169158,-0.950300,0.005000
90,0.115569,-0.709955,0.005000
100,0.163741,-0.664748,0.005000
110,0.168815,-0.867286,0.005000
120,0.254007,-1.061839,0.005000
130,0.087260,-0.816455,0.005000
140,0.214838,-0.915128,0.005000
150,0.156733,-1.074449,0.005000
160,0.145190,-1.322457,0.005000
170,0.090828,-0.982213,0.005000
180,0.181023,-1.223654,0.005000
190,0.128012,-1.215369,0.005000
200,0.335716,-1.276702,0.005000
210,0.281402,-1.121952,0.005000
220,0.119468,-1.066664,0.005000
230,0.119694,-1.174202,0.005000
240,0.078900,-0.884196,0.005000
250,0.090264,-1.127552,0.005000
260,0.125572,-1.083573,0.005000
270,0.080098,-1.117876,0.005000
280,0.105375,-1.272204,0.005000
290,0.070171,-1.128452,0.005000
300,0.076841,-0.868353,0.005000
310,0.039061,-1.133609,0.005000
320,0.053328,-1.074976,0.005000
330,0.064258,-0.967857,0.005000
340,0.133827,-1.007674,0.005000
350,0.065558,-1.402161,0.005000
360,0.042416,-1.272753,0.005000
370,0.060098,-1.276310,0.005000
380,0.036942,-1.266579,0.005000
390,0.071597,-1.224263,0.005000
400,0.068723,-1.224581,0.005000
410,0.050220,-1.430110,0.005000
420,0.051391,-1.136403,0.005000
430,0.054006,-1.294464,0.005000
440,0.054952,-1.352408,0.005000
450,0.068457,-1.402354,0.005000
460,0.042932,-1.264252,0.005000
470,0.054373,-1.382857,0.005000
480,0.050055,-1.441919,0.005000
490,0.139844,-1.298438,0.005000
500,0.074268,-1.255063,0.005000
510,0.038525,-1.334703,0.005000
520,0.035939,-1.220332,0.005000
530,0.057938,-1.360768,0.005000
540,0.064236,-1.382691,0.005000
550,0.022457,-1.392104,0.005000
560,0.073675,-1.365026,0.005000
570,0.076603,-1.416403,0.005000
580,0.068409,-1.473995,0.005000
590,0.125476,-1.466894,0.005000
600,0.063579,-1.510645,0.005000
610,0.093882,-1.652871,0.005000
620,0.074899,-1.725508,0.005000
630,0.060344,-1.619113,0.005000
640,0.034506,-1.707685,0.005000
650,0.058517,-1.793983,0.005000
660,0.103982,-2.030346,0.005000
670,0.110923,-1.825710,0.005000
680,0.161293,-2.170358,0.005000
690,0.109112,-1.872345,0.005000
700,0.078841,-2.188655,0.005000
710,0.130889,-2.121377,0.005000
720,0.185805,-2.243466,0.005000
730,0.148276,-2.643247,0.005000
740,0.183564,-2.220025,0.005000
750,0.134904,-2.538854,0.005000
760,0.221584,-2.958321,0.005000
770,0.295482,-2.833420,0.005000
780,0.611334,-3.254664,0.005000
790,0.253292,-3.414610,0.005000
800,0.312179,-3.244359,0.005000
810,0.265966,-3.493975,0.005000
820,0.577233,-3.456980,0.005000
830,0.472311,-3.835917,0.005000
840,0.292527,-3.738122,0.005000
850,0.432442,-3.819567,0.005000
860,0.550975,-4.277400,0.005000
870,0.610792,-4.318930,0.005000
880,0.642882,-4.881642,0.005000
890,0.767197,-4.816838,0.005000
900,0.447569,-4.926504,0.005000
910,1.068574,-4.863005,0.005000
920,0.616313,-5.210868,0.005000
930,0.866444,-5.278310,0.005000
940,1.566379,-5.510012,0.005000
950,0.638839,-5.689100,0.005000
960,1.258406,-5.295567,0.005000
970,0.835415,-6.050895,0.005000
980,1.236068,-5.985579,0.005000
990,0.460852,-6.171284,0.005000
1000,0.634310,-6.243053,0.005000
1010,0.988099,-6.428306,0.005000
1020,0.483283,-6.434488,0.005000
1030,0.728829,-6.467891,0.005000
1040,0.785306,-6.237764,0.005000
1050,0.599634,-6.631800,0.005000
1060,0.878173,-6.456078,0.005000
1070,0.648466,-6.743105,0.005000
1080,0.558616,-6.879870,0.005000
1090,0.935782,-6.577756,0.005000
1100,0.610216,-6.580698,0.005000
1110,0.613073,-6.858737,0.005000
1120,0.775967,-6.925283,0.005000
1130,0.544873,-6.858938,0.005000
1140,1.079793,-6.721280,0.005000
1150,0.630770,-6.918441,0.005000
1160,0.675910,-7.192954,0.005000
1170,0.787541,-6.946394,0.005000
1180,0.845828,-6.747673,0.005000
1190,0.815779,-6.919368,0.005000
