step,critic_loss,actor_loss,tau
0,20.846354,0.269319,0.005000
10,16.942476,-0.104619,0.005000
20,12.164015,-1.020341,0.005000
30,5.577189,-2.410982,0.005000
40,4.116115,-4.056062,0.005000
50,2.254146,-5.132752,0.005000
60,1.796756,-6.239811,0.005000
70,0.687969,-6.984457,0.005000
80,0.711595,-7.298519,0.005000
90,0.400767,-7.957500,0.005000
100,0.210900,-8.723756,0.005500
110,0.358023,-9.199988,0.005250
120,0.425873,-9.865007,0.005000
130,0.563715,-10.404562,0.005000
140,0.497337,-11.225094,0.005000
150,0.762625,-11.661589,0.005000
160,0.905835,-12.163103,0.005000
170,1.202188,-12.629674,0.005000
180,1.294170,-13.114766,0.005000
190,1.360159,-13.524531,0.005000
200,1.687870,-13.956137,0.005000
210,1.600290,-14.462517,0.005000
220,1.609187,-14.624829,0.005000
230,1.081668,-15.360323,0.005000
240,1.063362,-15.593855,0.005000
250,0.968802,-15.711682,0.005000
260,1.576795,-16.324623,0.005000
270,0.902692,-16.433010,0.005000
280,1.319273,-16.729008,0.005000
290,1.383629,-16.705921,0.005000
300,1.182635,-18.029875,0.005000
310,0.903847,-18.059166,0.005000
320,1.457615,-18.505339,0.005000
330,1.193158,-19.020145,0.005000
340,1.650836,-19.891140,0.005000
350,2.193486,-19.920809,0.005000
360,1.125181,-20.107952,0.005000
370,1.898012,-21.120125,0.005000
380,1.591405,-21.196548,0.005000
390,2.410329,-21.680943,0.005000
400,2.376482,-22.482220,0.005000
410,1.877127,-23.024260,0.005000
420,2.040555,-23.247078,0.005000
430,1.398251,-23.808292,0.005000
440,2.156123,-24.376179,0.005000
450,1.691278,-24.299797,0.005000
460,1.825298,-24.557421,0.005000
470,1.556833,-25.319092,0.005000
480,1.967172,-25.700989,0.005000
490,1.317181,-25.501806,0.005000
500,1.173029,-26.201740,0.005000
510,1.094528,-26.092028,0.005000
520,1.946896,-27.611826,0.005000
530,1.933656,-27.310381,0.005000
540,1.668006,-27.684193,0.005000
550,1.164278,-26.941566,0.005000
560,2.322113,-27.962070,0.005000
570,4.413053,-28.729061,0.005000
580,2.762980,-28.904606,0.005000
590,0.749863,-29.245609,0.005000
600,1.953421,-29.896006,0.005000
610,2.452199,-29.792360,0.005000
620,1.797433,-30.593029,0.005000
630,2.590874,-29.750116,0.005000
640,1.930623,-29.892103,0.005000
650,1.615339,-32.052917,0.005000
660,3.920128,-31.770203,0.005000
670,1.951252,-31.252949,0.005000
680,2.549760,-33.340248,0.005000
690,1.213968,-33.039291,0.005000
700,2.185639,-33.264206,0.005000
710,3.423623,-33.139164,0.005000
720,3.511699,-34.591606,0.005000
730,2.842921,-33.443932,0.005000
740,1.376155,-33.901474,0.005000
750,1.391747,-35.058006,0.005000
760,1.954399,-35.054665,0.005000
770,2.446949,-35.627640,0.005000
780,1.314367,-36.896172,0.005000
790,1.739117,-36.267025,0.005000
800,1.680475,-35.438343,0.005000
810,2.718409,-37.785622,0.005000
820,1.774483,-38.445381,0.005000
830,3.275232,-38.213493,0.005000
840,2.409916,-38.712135,0.005000
850,4.034288,-39.562481,0.005000
860,3.395667,-40.029694,0.005000
870,3.688470,-39.313828,0.005000
880,2.710011,-41.503986,0.005000
890,5.057137,-41.823624,0.005000
900,2.345748,-41.928406,0.005000
910,3.454039,-41.366661,0.005000
920,2.150351,-42.770596,0.005000
930,2.767245,-42.329327,0.005000
940,4.280434,-42.469490,0.005000
950,3.346400,-42.874306,0.005000
960,2.441693,-42.721992,0.005000
970,2.822832,-44.831070,0.005000
980,3.359511,-44.669327,0.005000
990,5.231355,-44.179321,0.005000
1000,4.298207,-45.039310,0.005000
1010,4.205180,-44.846207,0.005000
1020,2.293905,-45.881042,0.005000
1030,3.070806,-46.990437,0.005000
1040,1.781961,-46.222622,0.005000
1050,4.295518,-47.132893,0.005000
1060,3.652494,-47.031712,0.005000
1070,4.159801,-47.205292,0.005000
1080,5.111159,-47.667286,0.005000
1090,3.078906,-47.906860,0.005000
1100,3.390405,-48.857090,0.005000
1110,5.094162,-48.924141,0.005000
1120,2.634133,-49.073727,0.005000
1130,4.384146,-49.352161,0.005000
1140,3.739283,-51.087116,0.005000
1150,2.154512,-51.315628,0.005000
1160,3.497411,-52.023563,0.005000
1170,4.820089,-52.229408,0.005000
1180,2.005121,-53.123360,0.005000
1190,3.898753,-53.849445,0.005000
