step,critic_loss,actor_loss,tau
0,22.480755,0.264684,0.005000
10,17.517654,-0.090302,0.005000
20,12.569857,-1.020149,0.005000
30,7.407064,-2.398704,0.005000
40,4.103571,-4.076719,0.005000
50,2.439842,-5.195895,0.005000
60,1.494450,-6.186238,0.005000
70,0.733858,-6.911627,0.005000
80,0.667651,-7.432168,0.005000
90,0.351505,-7.941546,0.005000
100,0.215203,-8.665162,0.005000
110,0.340806,-9.181197,0.005000
120,0.430867,-9.841532,0.005000
130,0.464807,-10.301069,0.005000
140,0.642954,-11.050763,0.005000
150,0.827936,-11.574506,0.005000
160,0.750443,-12.063354,0.005000
170,0.851930,-12.678606,0.005000
180,1.117283,-13.107550,0.005000
190,1.373667,-13.500117,0.005000
200,1.382009,-14.144526,0.005000
210,1.027791,-14.419157,0.005000
220,1.192223,-14.898609,0.005000
230,1.515880,-15.014986,0.005000
240,1.364896,-15.336740,0.005000
250,1.490815,-15.615341,0.005000
260,1.476480,-16.173409,0.005000
270,1.348795,-16.411770,0.005000
280,1.795457,-16.681492,0.005000
290,1.766173,-17.279581,0.005000
300,1.400484,-17.574717,0.005000
310,0.997376,-18.263039,0.005000
320,1.428956,-18.395102,0.005000
330,1.243062,-19.291143,0.005000
340,1.288783,-19.849257,0.005000
350,1.323627,-20.055372,0.005000
360,1.441185,-20.516655,0.005000
370,2.100705,-20.928465,0.005000
380,1.327693,-21.189011,0.005000
390,1.906207,-21.906605,0.005000
400,1.367510,-22.040855,0.005000
410,1.775936,-23.299402,0.005000
420,1.730772,-23.001783,0.005000
430,2.292345,-23.762720,0.005000
440,2.255065,-24.432735,0.005000
450,1.371205,-24.205654,0.005000
460,1.950516,-24.622860,0.005000
470,1.268263,-25.267321,0.005000
480,1.822553,-25.564604,0.005000
490,1.594564,-25.401020,0.005000
500,2.774890,-25.220177,0.005000
510,1.906341,-25.671663,0.005000
520,1.236495,-26.212757,0.005000
530,2.112347,-27.219507,0.005000
540,2.274894,-26.488590,0.005000
550,1.983942,-26.178185,0.005000
560,2.314261,-27.925880,0.005000
570,6.195525,-28.970592,0.005000
580,2.327464,-28.732256,0.005000
590,1.865860,-28.581398,0.005000
600,1.616415,-29.345795,0.005000
610,1.944121,-29.326204,0.005000
620,2.383789,-29.585388,0.005000
630,2.033650,-28.743286,0.005000
640,2.577954,-30.658861,0.005000
650,2.609319,-31.089333,0.005000
660,4.423894,-30.964073,0.005000
670,2.797094,-30.970549,0.005000
680,2.106512,-32.556023,0.005000
690,1.675754,-32.926777,0.005000
700,2.276945,-32.889122,0.005000
710,2.388265,-32.810833,0.005000
720,2.703543,-34.784950,0.005000
730,1.935950,-34.123192,0.005000
740,1.119724,-34.136597,0.005000
750,1.571597,-35.340950,0.005000
760,2.395770,-34.365719,0.005000
770,2.278235,-35.256805,0.005000
780,1.837094,-36.137032,0.005000
790,2.327020,-35.989674,0.005000
800,1.787080,-35.797928,0.005000
810,2.405025,-38.039188,0.005000
820,1.579160,-37.579258,0.005000
830,3.522630,-38.596619,0.005000
840,3.600299,-38.233887,0.005000
850,2.039535,-39.978523,0.005000
860,2.420807,-39.330070,0.005000
870,3.459504,-39.118092,0.005000
880,4.323006,-40.835522,0.005000
890,2.424427,-41.932800,0.005000
900,4.033083,-41.264969,0.005000
910,2.435406,-41.128166,0.005000
920,2.704486,-42.233971,0.005000
930,2.737225,-42.764439,0.005000
940,4.785488,-42.381584,0.005000
950,4.975715,-43.017509,0.005000
960,2.435797,-43.884190,0.005000
970,1.985840,-45.480869,0.005000
980,5.092927,-44.333496,0.005000
990,2.833687,-44.190720,0.005000
1000,3.024464,-45.316734,0.005000
1010,2.098545,-46.265358,0.005000
1020,2.039378,-45.988678,0.005000
1030,3.762935,-45.736729,0.005000
1040,6.129210,-46.070610,0.005000
1050,2.678349,-47.446297,0.005000
1060,2.332410,-47.477524,0.005000
1070,4.126754,-48.118855,0.005000
1080,3.419701,-49.938347,0.005000
1090,3.316736,-49.002457,0.005000
1100,4.699974,-49.142738,0.005000
1110,3.903175,-50.219025,0.005000
1120,7.253251,-50.582916,0.005000
1130,6.378942,-50.367752,0.005000
1140,1.638690,-52.119072,0.005000
1150,2.987760,-51.606361,0.005000
1160,3.119942,-51.451569,0.005000
1170,7.666555,-53.186314,0.005000
1180,2.755485,-52.888840,0.005000
1190,4.126611,-53.254890,0.005000
