step,critic_loss,actor_loss,tau
0,1.728714,0.261106,0.005000
10,0.909065,0.357854,0.005000
20,0.521115,0.455601,0.005000
30,0.391316,0.215836,0.005000
40,0.429849,0.070998,0.005000
50,0.240700,-0.134270,0.049856
60,0.098743,-0.130077,0.200000
70,0.116448,-0.195256,0.200000
80,0.180067,-0.079915,0.191667
90,0.132718,-0.261933,0.200000
100,0.081700,-0.319567,0.200000
110,0.087675,-0.650725,0.200000
120,0.087942,-0.645800,0.200000
130,0.036063,-0.883670,0.200000
140,0.099332,-1.350582,0.200000
150,0.123375,-1.501161,0.200000
160,0.070486,-1.706823,0.200000
170,0.058960,-1.795865,0.200000
180,0.084907,-2.017959,0.200000
190,0.080144,-2.259125,0.200000
200,0.135827,-3.140572,0.200000
210,0.216487,-4.027690,0.200000
220,0.399839,-5.943383,0.016486
230,0.607070,-5.997419,0.005000
240,0.973023,-5.669868,0.005000
250,0.344279,-6.017491,0.005000
260,0.222125,-6.149473,0.005750
270,0.203434,-6.087689,0.005250
280,0.424837,-5.706167,0.018065
290,0.331996,-5.902268,0.009072
300,0.396383,-5.657423,0.011923
310,0.175715,-4.955053,0.081529
320,0.100914,-3.956707,0.200000
330,0.065408,-2.954315,0.200000
340,0.089568,-2.662289,0.200000
350,0.041412,-2.533565,0.200000
360,0.042250,-2.489189,0.200000
370,0.030272,-1.870894,0.200000
380,0.074142,-1.807626,0.200000
390,0.033611,-2.070885,0.200000
400,0.037952,-2.538916,0.200000
410,0.042780,-2.899219,0.200000
420,0.063719,-3.145906,0.200000
430,0.062493,-3.429273,0.200000
440,0.105802,-3.526088,0.200000
450,0.040694,-3.090561,0.200000
460,0.057793,-2.683510,0.200000
470,0.031115,-2.182102,0.200000
480,0.019959,-2.006119,0.200000
490,0.030253,-1.593928,0.200000
500,0.047547,-1.132934,0.200000
510,0.025383,-1.168778,0.200000
520,0.038289,-1.061855,0.200000
530,0.037944,-1.391374,0.200000
540,0.056982,-1.288882,0.200000
550,0.028639,-1.203153,0.200000
560,0.034167,-1.611117,0.200000
570,0.084133,-2.237989,0.200000
580,0.082545,-3.024556,0.200000
590,0.085202,-4.360819,0.200000
600,0.099425,-4.595582,0.200000
610,0.054133,-3.639035,0.200000
620,0.034394,-2.743209,0.200000
630,0.034794,-1.875356,0.200000
640,0.027224,-1.423505,0.200000
650,0.023272,-1.211007,0.200000
660,0.041252,-1.114552,0.200000
670,0.078694,-0.807364,0.200000
680,0.021891,-0.938015,0.200000
690,0.023102,-1.337075,0.200000
700,0.042120,-1.598736,0.200000
710,0.034355,-1.904991,0.200000
720,0.049507,-2.199878,0.200000
730,0.044885,-2.562440,0.200000
740,0.069309,-3.029023,0.200000
750,0.033804,-3.095407,0.200000
760,0.037939,-2.876228,0.200000
770,0.018959,-2.458693,0.200000
780,0.017493,-2.540081,0.200000
790,0.020787,-2.122887,0.200000
800,0.023754,-1.729339,0.200000
810,0.027971,-1.598314,0.200000
820,0.016702,-0.973767,0.200000
830,0.027727,-0.353632,0.200000
840,0.193343,-0.308386,0.191667
850,0.058650,-0.166651,0.200000
860,0.181278,0.197041,0.200000
870,0.156360,0.176613,0.200000
880,0.148193,-0.096479,0.200000
890,0.079877,-0.539116,0.200000
900,0.027240,-1.101651,0.200000
910,0.020176,-1.330294,0.200000
920,0.016033,-1.654358,0.200000
930,0.024427,-2.343020,0.200000
940,0.047409,-2.662111,0.200000
950,0.074611,-3.056687,0.200000
960,0.065935,-3.492155,0.200000
970,0.034990,-3.187743,0.200000
980,0.042749,-3.321492,0.200000
990,0.026473,-3.309491,0.200000
1000,0.024192,-3.241792,0.200000
1010,0.042508,-3.100402,0.200000
1020,0.069702,-3.083013,0.200000
1030,0.030155,-2.996987,0.200000
1040,0.044002,-2.752953,0.200000
1050,0.033595,-2.809804,0.200000
1060,0.024661,-2.923989,0.200000
1070,0.013609,-2.955191,0.200000
1080,0.028761,-2.708273,0.200000
1090,0.026421,-2.551535,0.200000
1100,0.027473,-2.888193,0.200000
1110,0.021178,-2.908535,0.200000
1120,0.027078,-2.621452,0.200000
1130,0.041199,-2.723112,0.200000
1140,0.023591,-2.936615,0.200000
1150,0.032947,-2.959240,0.200000
1160,0.036376,-3.016648,0.200000
1170,0.020428,-3.318065,0.200000
1180,0.024279,-3.686700,0.200000
1190,0.079840,-3.620642,0.200000
