step,critic_loss,actor_loss,tau
0,1.691280,0.256759,0.005000
10,0.918113,0.356563,0.005000
20,0.552220,0.444990,0.005000
30,0.403413,0.239043,0.005000
40,0.443436,0.071984,0.005000
50,0.287833,-0.139497,0.005000
60,0.112523,-0.177581,0.005000
70,0.116202,-0.250504,0.005000
80,0.211321,-0.128538,0.005000
90,0.160257,-0.178102,0.005000
100,0.100972,-0.143584,0.005000
110,0.127478,-0.162048,0.005000
120,0.112672,-0.211765,0.005000
130,0.088657,-0.304851,0.005000
140,0.162892,-0.576615,0.005000
150,0.157448,-0.337400,0.005000
160,0.102241,-0.492810,0.005000
170,0.063407,-0.583993,0.005000
180,0.053100,-0.700879,0.005000
190,0.175570,-0.731886,0.005000
200,0.059891,-0.963697,0.005000
210,0.026881,-0.880334,0.005000
220,0.040361,-1.020202,0.005000
230,0.130846,-1.055343,0.005000
240,0.038054,-1.035192,0.005000
250,0.032235,-1.087043,0.005000
260,0.027578,-1.060217,0.005000
270,0.024956,-0.932656,0.005000
280,0.037854,-1.112315,0.005000
290,0.042181,-1.167558,0.005000
300,0.031555,-1.287796,0.005000
310,0.020047,-1.184185,0.005000
320,0.037131,-1.088309,0.005000
330,0.020621,-1.209489,0.005000
340,0.040894,-1.221751,0.005000
350,0.108878,-1.109525,0.005000
360,0.024624,-1.129493,0.005000
370,0.012116,-1.194203,0.005000
380,0.016911,-1.050354,0.005000
390,0.021878,-0.961932,0.005000
400,0.021593,-1.225324,0.005000
410,0.015539,-1.059345,0.005000
420,0.018397,-1.058424,0.005000
430,0.029099,-1.054858,0.005000
440,0.026385,-1.002680,0.005000
450,0.018230,-1.107471,0.005000
460,0.013342,-1.056233,0.005000
470,0.018737,-1.003863,0.005000
480,0.072052,-1.040796,0.005000
490,0.018807,-0.969162,0.005000
500,0.020809,-0.858506,0.005000
510,0.014153,-0.867013,0.005000
520,0.019324,-0.880873,0.005000
530,0.025635,-0.713827,0.005000
540,0.017936,-0.741747,0.005000
550,0.013807,-0.827739,0.005000
560,0.023334,-0.796789,0.005000
570,0.093898,-0.871006,0.005000
580,0.026676,-0.805740,0.005000
590,0.036278,-0.794716,0.005000
600,0.016728,-0.732536,0.005000
610,0.064274,-0.725923,0.005000
620,0.017203,-0.742762,0.005000
630,0.018869,-0.837125,0.005000
640,0.010282,-0.735674,0.005000
650,0.018142,-0.637016,0.005000
660,0.097401,-0.810979,0.005000
670,0.009097,-0.674561,0.005000
680,0.052865,-0.617661,0.005000
690,0.008423,-0.580454,0.005000
700,0.012766,-0.602811,0.005000
710,0.025901,-0.647759,0.005000
720,0.114570,-0.702408,0.005000
730,0.013229,-0.756292,0.005000
740,0.007758,-0.673486,0.005000
750,0.027914,-0.657889,0.005000
760,0.030147,-0.677394,0.005000
770,0.007962,-0.684042,0.005000
780,0.026313,-0.638702,0.005000
790,0.030564,-0.719350,0.005000
800,0.007049,-0.646218,0.005000
810,0.025915,-0.405735,0.005000
820,0.008929,-0.787436,0.005000
830,0.008844,-0.618319,0.005000
840,0.077469,-0.676611,0.005000
850,0.010050,-0.722486,0.005000
860,0.028109,-0.669169,0.005000
870,0.024226,-0.704204,0.005000
880,0.011268,-0.678745,0.005000
890,0.012181,-0.698899,0.005000
900,0.036255,-0.745124,0.005000
910,0.005788,-0.602121,0.005000
920,0.022568,-0.760576,0.005000
930,0.111233,-0.905048,0.005000
940,0.008256,-0.628417,0.005000
950,0.057763,-0.718583,0.005000
960,0.017092,-0.837502,0.005000
970,0.011679,-0.664426,0.005000
980,0.010293,-0.793327,0.005000
990,0.014602,-0.626017,0.005000
1000,0.053246,-0.678813,0.005000
1010,0.009456,-0.712292,0.005000
1020,0.085240,-0.932399,0.005000
1030,0.019613,-0.729248,0.005000
1040,0.048252,-0.679435,0.005000
1050,0.054399,-0.848191,0.005000
1060,0.029468,-0.610501,0.005000
1070,0.065274,-0.885160,0.005000
1080,0.010465,-0.660333,0.005000
1090,0.009306,-0.780269,0.005000
1100,0.018227,-0.819960,0.005000
1110,0.013022,-0.792284,0.005000
1120,0.011398,-0.755974,0.005000
1130,0.011903,-0.801866,0.005000
1140,0.020743,-0.872034,0.005000
1150,0.012348,-0.785912,0.005000
1160,0.018723,-0.850451,0.005000
1170,0.023849,-0.765736,0.005000
1180,0.021948,-0.917427,0.005000
1190,0.026778,-0.899065,0.005000
