step,critic_loss,actor_loss,tau
0,3.477179,-0.459652,0.005000
10,2.486164,-0.684594,0.005000
20,1.262913,-1.089082,0.005000
30,1.568810,-1.462906,0.005000
40,0.913549,-1.921759,0.005000
50,1.027605,-2.200633,0.005000
60,0.614664,-2.284465,0.005000
70,0.525895,-2.476182,0.005000
80,0.403303,-2.968459,0.005000
90,0.387025,-2.876142,0.005000
100,0.222672,-3.022805,0.006350
110,0.537592,-3.457201,0.005000
120,0.665837,-3.828757,0.005500
130,0.366106,-4.038970,0.005500
140,0.580824,-4.236054,0.029927
150,0.327110,-4.236356,0.018812
160,0.330952,-4.780218,0.006900
170,0.202954,-4.314990,0.005800
180,0.298738,-4.545520,0.007260
190,0.755761,-4.880736,0.005000
200,0.279505,-4.534181,0.005250
210,0.257247,-4.987347,0.007200
220,0.871634,-5.418749,0.005800
230,0.461569,-5.429652,0.005000
240,0.713410,-5.517575,0.005000
250,0.548152,-5.686883,0.005000
260,0.978863,-5.830273,0.005000
270,1.087579,-6.435484,0.005000
280,0.714940,-5.758603,0.005000
290,1.131906,-6.628808,0.005000
300,2.084280,-6.361366,0.005000
310,1.098121,-6.349933,0.005000
320,0.795344,-6.510779,0.005000
330,0.674126,-6.653072,0.005000
340,0.571963,-6.537269,0.005000
350,1.388534,-6.984838,0.005000
360,1.644569,-6.962765,0.005000
370,1.142385,-7.025934,0.005250
380,1.062964,-7.084223,0.005000
390,1.077774,-6.443244,0.005000
400,1.379026,-7.086150,0.005000
410,0.960794,-7.551384,0.005000
420,1.173114,-7.121674,0.005000
430,0.910872,-7.318502,0.005000
440,0.912094,-7.164572,0.005000
450,1.318461,-7.089706,0.005000
460,0.790658,-6.665133,0.005000
470,1.167411,-6.940999,0.005000
480,0.707595,-6.392025,0.005000
490,0.641754,-6.419467,0.005000
500,0.838647,-6.661111,0.005000
510,0.470074,-6.319182,0.005000
520,0.996897,-5.949650,0.005000
530,0.555352,-6.204474,0.005000
540,1.409186,-6.497120,0.005000
550,0.519886,-6.041748,0.005000
560,0.473009,-5.589756,0.005000
570,0.926044,-5.737539,0.005000
580,1.053391,-5.373206,0.005000
590,1.371293,-5.553807,0.005000
600,0.598300,-5.154509,0.005000
610,0.822086,-5.348453,0.005000
620,0.624360,-4.890525,0.005000
630,0.979695,-5.161609,0.005000
640,0.473401,-4.699560,0.005000
650,0.421414,-4.775135,0.005000
660,0.567116,-5.144176,0.005500
670,0.482087,-5.065856,0.005000
680,0.405929,-4.659857,0.005000
690,0.667904,-4.592807,0.005000
700,0.422665,-4.704206,0.005000
710,0.406838,-4.587223,0.005000
720,0.390676,-4.450603,0.007560
730,0.414048,-4.536059,0.005250
740,0.631715,-4.155629,0.005000
750,0.407519,-4.089835,0.009504
760,0.417787,-4.253962,0.005250
770,0.428889,-4.322689,0.015054
780,0.423608,-3.964472,0.005000
790,0.250304,-4.063581,0.029669
800,0.643979,-3.972478,0.067941
810,0.116412,-4.375216,0.034622
820,0.427912,-4.191881,0.053942
830,0.280115,-4.435321,0.046810
840,0.330233,-4.336734,0.008280
850,0.234197,-4.052284,0.009072
860,0.434341,-4.361989,0.005000
870,0.275627,-4.683560,0.006300
880,0.456219,-4.386399,0.013064
890,0.501974,-4.127208,0.010454
900,0.194047,-4.329485,0.031217
910,0.402726,-4.178777,0.012545
920,0.308844,-4.388942,0.007560
930,0.363854,-4.205887,0.013686
940,0.388010,-4.200923,0.006960
950,0.264186,-4.573391,0.058846
960,0.314549,-4.308414,0.088590
970,0.416864,-4.667794,0.093213
980,0.430397,-4.588796,0.058846
990,0.212997,-4.469145,0.064731
1000,0.335175,-4.388058,0.093213
1010,0.326684,-4.456095,0.070616
1020,0.205228,-4.593797,0.200000
1030,0.182978,-4.356100,0.200000
1040,0.170712,-4.437595,0.200000
1050,0.319500,-4.507443,0.183333
1060,0.152216,-4.639493,0.146991
1070,0.209431,-4.303316,0.121528
1080,0.382786,-4.105613,0.081045
1090,0.420265,-4.098371,0.159722
1100,0.496591,-5.078912,0.073678
1110,0.532116,-4.350185,0.023740
1120,0.529554,-4.842386,0.032570
1130,0.557462,-4.507001,0.053956
1140,0.430740,-4.614846,0.041022
1150,0.207179,-4.812077,0.051165
1160,0.251507,-5.073364,0.200000
1170,0.395997,-4.981502,0.018849
1180,0.488047,-4.728040,0.010367
1190,0.443476,-4.720283,0.006050
