step,critic_loss,actor_loss,tau
0,3.093390,-0.467057,0.005000
10,2.371861,-0.676189,0.005000
20,1.320055,-1.079171,0.005000
30,1.459976,-1.426983,0.005000
40,0.946624,-1.976980,0.005000
50,1.096470,-2.155769,0.005000
60,0.711610,-2.247962,0.005000
70,0.594790,-2.468881,0.005000
80,0.520104,-2.975740,0.005000
90,0.353379,-2.873447,0.005000
100,0.241444,-2.993670,0.005000
110,0.592316,-3.500489,0.005000
120,0.753165,-3.701724,0.005000
130,0.445588,-3.868124,0.005000
140,0.569170,-3.801832,0.005000
150,0.196292,-3.647625,0.005000
160,0.171631,-3.988890,0.005000
170,0.089565,-3.736353,0.005000
180,0.146478,-3.984530,0.005000
190,0.461516,-4.251031,0.005000
200,0.135577,-3.990318,0.005000
210,0.146074,-4.418256,0.005000
220,0.423292,-4.854205,0.005000
230,0.287476,-5.015424,0.005000
240,0.439248,-5.163267,0.005000
250,0.307735,-5.050173,0.005000
260,0.750964,-5.368642,0.005000
270,0.907892,-5.930527,0.005000
280,0.367966,-5.379733,0.005000
290,1.064200,-6.241867,0.005000
300,1.355857,-6.157425,0.005000
310,0.890783,-6.288401,0.005000
320,0.791781,-6.537420,0.005000
330,0.759171,-6.540745,0.005000
340,0.462130,-6.243641,0.005000
350,1.510819,-6.954305,0.005000
360,1.534818,-6.971515,0.005000
370,1.024196,-7.228604,0.005000
380,0.993166,-7.160897,0.005000
390,0.545989,-6.845949,0.005000
400,1.023481,-7.045127,0.005000
410,1.042822,-7.427194,0.005000
420,1.033364,-7.386322,0.005000
430,0.795182,-7.379698,0.005000
440,0.812693,-7.171169,0.005000
450,1.271646,-7.127348,0.005000
460,0.716224,-6.879982,0.005000
470,1.809410,-7.147832,0.005000
480,0.676108,-7.039625,0.005000
490,0.695552,-6.793962,0.005000
500,0.863334,-6.460304,0.005000
510,0.564469,-6.661487,0.005000
520,0.676057,-6.106775,0.005000
530,0.681630,-6.408881,0.005000
540,1.342405,-6.706631,0.005000
550,0.652933,-6.401293,0.005000
560,0.586686,-5.998981,0.005000
570,0.610507,-6.012812,0.005000
580,1.048702,-5.731619,0.005000
590,1.377916,-5.938301,0.005000
600,0.664435,-5.471009,0.005000
610,0.686977,-5.672216,0.005000
620,0.689495,-5.072352,0.005000
630,0.854524,-5.264691,0.005000
640,0.431639,-4.921317,0.005000
650,0.600411,-4.806711,0.005000
660,0.558876,-5.257349,0.005000
670,0.560881,-5.272002,0.005000
680,0.483883,-4.839572,0.005000
690,0.781826,-4.730540,0.005000
700,0.395778,-4.790493,0.005000
710,0.411618,-4.650717,0.005000
720,0.448567,-4.401630,0.005000
730,0.340820,-4.626865,0.005000
740,0.617754,-4.410779,0.005000
750,0.398978,-4.180799,0.005000
760,0.509490,-4.434959,0.005000
770,0.529169,-4.596485,0.005000
780,0.425235,-4.257565,0.005000
790,0.248885,-4.357059,0.005000
800,0.657580,-4.387508,0.005000
810,0.341765,-4.508898,0.005000
820,0.479848,-4.417127,0.005000
830,0.348247,-4.676866,0.005000
840,0.321046,-4.380145,0.005000
850,0.163616,-4.088676,0.005000
860,0.288808,-4.433599,0.005000
870,0.287194,-4.648242,0.005000
880,0.409506,-4.441610,0.005000
890,0.550400,-4.282706,0.005000
900,0.236996,-4.468575,0.005000
910,0.378750,-4.319530,0.005000
920,0.268852,-4.463068,0.005000
930,0.387878,-4.312692,0.005000
940,0.470428,-4.437793,0.005000
950,0.276616,-4.448469,0.005000
960,0.449130,-4.348617,0.005000
970,0.414128,-4.515787,0.005000
980,0.401517,-4.633921,0.005000
990,0.215397,-4.508958,0.005000
1000,0.286419,-4.584232,0.005000
1010,0.338613,-4.543948,0.005000
1020,0.134733,-4.644882,0.005000
1030,0.218615,-4.320541,0.005000
1040,0.219567,-4.586317,0.005000
1050,0.295045,-4.649025,0.005000
1060,0.152179,-4.528610,0.005000
1070,0.276849,-4.494523,0.005000
1080,0.349158,-4.562404,0.005000
1090,0.365088,-4.426548,0.005000
1100,0.469303,-4.743091,0.005000
1110,0.434361,-4.295126,0.005000
1120,0.393919,-4.671236,0.005000
1130,0.413905,-4.760283,0.005000
1140,0.295539,-4.522754,0.005000
1150,0.277415,-4.950583,0.005000
1160,0.216596,-5.029613,0.005000
1170,0.205366,-4.910020,0.005000
1180,0.320106,-4.577463,0.005000
1190,0.328967,-4.677843,0.005000
