step,critic_loss,actor_loss,tau
0,0.988371,-0.467478,0.005000
10,0.570176,-0.478234,0.005000
20,0.306014,-0.579174,0.005250
30,1.102619,-0.719990,0.005000
40,0.665365,-0.969662,0.005000
50,0.743386,-0.936126,0.005000
60,0.365446,-0.829576,0.006050
70,0.370237,-0.838063,0.005500
80,0.939091,-1.016181,0.005250
90,0.634678,-0.719062,0.005250
100,0.488003,-0.649428,0.006050
110,2.016663,-1.066819,0.005000
120,1.453087,-1.083785,0.005000
130,0.931459,-1.120339,0.005500
140,2.264680,-1.312492,0.005500
150,0.563593,-0.676034,0.005250
160,0.475430,-0.768454,0.005000
170,0.559239,-0.606520,0.005800
180,2.320291,-0.544693,0.005250
190,0.374605,-1.220064,0.019707
200,0.266890,-1.237098,0.008712
210,2.047200,-0.691434,0.005500
220,0.326687,-1.052270,0.006050
230,0.202671,-0.668993,0.016697
240,0.553162,-0.844331,0.022753
250,0.415591,-1.215456,0.023649
260,1.097301,-1.514596,0.005000
270,1.033170,-1.498702,0.007920
280,0.235367,-0.783641,0.021499
290,0.511366,-1.313358,0.006350
300,0.779871,-0.983032,0.005000
310,0.330215,-0.972281,0.005250
320,0.351982,-1.057985,0.007560
330,0.293104,-1.065367,0.005750
340,0.833383,-1.283655,0.006600
350,0.575973,-1.115690,0.005250
360,0.433436,-0.932410,0.005000
370,0.317491,-1.259235,0.007260
380,0.276792,-1.129055,0.007260
390,0.231411,-1.116032,0.026014
400,0.222427,-0.753180,0.159740
410,0.236179,-1.397471,0.191667
420,0.239935,-0.906040,0.200000
430,0.266945,-0.835640,0.191667
440,0.197912,-1.434773,0.183333
450,0.163731,-1.211446,0.191667
460,0.307286,-0.755710,0.183333
470,0.345070,-1.258250,0.200000
480,0.136969,-1.831427,0.200000
490,0.105546,-1.227923,0.200000
500,0.111783,-1.434659,0.200000
510,0.080199,-1.129821,0.200000
520,0.138879,-0.938785,0.200000
530,0.175874,-1.720411,0.200000
540,0.135271,-1.839252,0.200000
550,0.180230,-2.305120,0.200000
560,0.524133,-3.084831,0.030103
570,0.523050,-3.269128,0.005250
580,0.541930,-3.373407,0.005000
590,0.766533,-4.101002,0.005250
600,0.727916,-4.120622,0.005000
610,0.774700,-4.269254,0.005000
620,0.848666,-4.495581,0.005000
630,0.628937,-4.479158,0.005000
640,0.362959,-4.682594,0.005000
650,0.776829,-5.658246,0.005000
660,0.732943,-5.944518,0.005000
670,0.658411,-5.621612,0.005000
680,0.947473,-6.291571,0.005000
690,1.218775,-6.811474,0.005000
700,1.277393,-7.177057,0.005000
710,2.280773,-7.205426,0.005000
720,1.588820,-7.622200,0.005000
730,1.215232,-8.261755,0.005000
740,1.647363,-8.269892,0.005000
750,1.881647,-8.446859,0.005000
760,1.253343,-8.852530,0.005000
770,1.325379,-8.757816,0.005000
780,1.477759,-8.502581,0.005000
790,1.332676,-8.329040,0.005000
800,1.288188,-8.147812,0.005000
810,1.328810,-7.641003,0.005000
820,1.286980,-7.380141,0.005000
830,0.952731,-7.414467,0.005000
840,0.566126,-7.162595,0.005000
850,0.802178,-6.996920,0.005000
860,0.638358,-6.863405,0.005000
870,0.584706,-6.816428,0.005000
880,0.550821,-6.489369,0.005000
890,0.773791,-6.303304,0.005000
900,0.458381,-6.151147,0.005000
910,0.355258,-5.768342,0.005000
920,0.222316,-5.656134,0.006000
930,0.670726,-5.678241,0.005800
940,0.215353,-5.498904,0.006000
950,0.493304,-5.661730,0.005000
960,0.242961,-5.184360,0.005500
970,0.681015,-5.385389,0.005000
980,0.252408,-4.901817,0.014930
990,0.252110,-4.656005,0.015801
1000,0.227627,-4.175513,0.040865
1010,0.066444,-2.727155,0.200000
1020,1.121469,-2.569008,0.059072
1030,0.304040,-2.207158,0.032570
1040,0.242263,-2.180450,0.152778
1050,0.197578,-2.170418,0.092432
1060,0.145630,-1.660960,0.200000
1070,0.177061,-1.582789,0.191667
1080,0.098279,-1.821980,0.200000
1090,0.205743,-1.436710,0.145833
1100,0.112681,-1.472608,0.200000
1110,0.288563,-1.402076,0.191667
1120,0.166484,-1.574846,0.200000
1130,0.204286,-1.588776,0.200000
1140,0.150662,-1.269308,0.200000
1150,0.153639,-1.161760,0.200000
1160,0.304840,-1.120010,0.096451
1170,0.209889,-1.322376,0.191667
1180,0.199547,-1.280913,0.168056
1190,0.084016,-1.264366,0.200000
