step,critic_loss,actor_loss,tau
0,1.001819,-0.464288,0.005000
10,0.577072,-0.488861,0.005000
20,0.327109,-0.559450,0.005000
30,1.099940,-0.723122,0.005000
40,0.659329,-0.973056,0.005000
50,0.767349,-0.942461,0.005000
60,0.376042,-0.828666,0.005000
70,0.389011,-0.881878,0.005000
80,0.922470,-1.054540,0.005000
90,0.470652,-0.762354,0.005000
100,0.299941,-0.701917,0.005000
110,1.901991,-1.076399,0.005000
120,1.377758,-1.050650,0.005000
130,0.815680,-1.263660,0.005000
140,0.928688,-1.170861,0.005000
150,0.390752,-0.773950,0.005000
160,0.479082,-0.816129,0.005000
170,0.362318,-0.640666,0.005000
180,1.579836,-0.697639,0.005000
190,0.412234,-1.203336,0.005000
200,0.430253,-1.278602,0.005000
210,1.566440,-0.764963,0.005000
220,0.419270,-1.176825,0.005000
230,0.317018,-0.703459,0.005000
240,0.389890,-0.817355,0.005000
250,0.492449,-1.139345,0.005000
260,1.425897,-1.598518,0.005000
270,1.283109,-1.568689,0.005000
280,0.245820,-0.878198,0.005000
290,0.658691,-1.428362,0.005000
300,0.827548,-1.052550,0.005000
310,0.336161,-1.044034,0.005000
320,0.327227,-1.125037,0.005000
330,0.297239,-1.100865,0.005000
340,0.595843,-1.341600,0.005000
350,0.668263,-1.246856,0.005000
360,0.398407,-1.059735,0.005000
370,0.297353,-1.440301,0.005000
380,0.252989,-1.238200,0.005000
390,0.246105,-1.287298,0.005000
400,0.223942,-0.945367,0.005000
410,0.347492,-1.434976,0.005000
420,0.260249,-1.145432,0.005000
430,0.188600,-1.195560,0.005000
440,0.222654,-1.222277,0.005000
450,0.194140,-1.477610,0.005000
460,0.318024,-1.119004,0.005000
470,0.573155,-1.181178,0.005000
480,0.062003,-1.292128,0.005000
490,0.102356,-1.078241,0.005000
500,0.094267,-1.283962,0.005000
510,0.155617,-1.245584,0.005000
520,0.090253,-1.317370,0.005000
530,0.164205,-1.375690,0.005000
540,0.119676,-1.359521,0.005000
550,0.242609,-1.406297,0.005000
560,0.094613,-1.371644,0.005000
570,0.310695,-1.358585,0.005000
580,0.136262,-1.418699,0.005000
590,0.081294,-1.673900,0.005000
600,0.086265,-1.605882,0.005000
610,0.138692,-1.807828,0.005000
620,0.123312,-1.708441,0.005000
630,0.053340,-1.633254,0.005000
640,0.121929,-1.879155,0.005000
650,0.138126,-2.136830,0.005000
660,0.109164,-2.339051,0.005000
670,0.172915,-2.152702,0.005000
680,0.075627,-2.388857,0.005000
690,0.260715,-2.713145,0.005000
700,0.296913,-2.914019,0.005000
710,0.870286,-2.968641,0.005000
720,0.280942,-3.191315,0.005000
730,0.199841,-3.295785,0.005000
740,0.500828,-3.561863,0.005000
750,0.711474,-4.014297,0.005000
760,0.485399,-4.549665,0.005000
770,0.803071,-4.186399,0.005000
780,0.654992,-4.766739,0.005000
790,0.752759,-5.277266,0.005000
800,1.045371,-5.195211,0.005000
810,1.139146,-6.230330,0.005000
820,1.081006,-6.323610,0.005000
830,1.025981,-6.578920,0.005000
840,1.300045,-7.267333,0.005000
850,1.191507,-7.292922,0.005000
860,1.560570,-7.599988,0.005000
870,1.585603,-7.881707,0.005000
880,1.401790,-8.342364,0.005000
890,0.680037,-8.563051,0.005000
900,0.931059,-8.376637,0.005000
910,1.138311,-8.068856,0.005000
920,1.180518,-8.243139,0.005000
930,0.886634,-7.973322,0.005000
940,0.789356,-7.914940,0.005000
950,1.240700,-7.574961,0.005000
960,0.813961,-7.274533,0.005000
970,0.699655,-7.248307,0.005000
980,0.792174,-7.511200,0.005000
990,0.671639,-7.105248,0.005000
1000,1.070665,-6.887707,0.005000
1010,0.455989,-6.567600,0.005000
1020,0.395791,-6.588420,0.005000
1030,0.245042,-6.384554,0.005000
1040,1.040190,-6.607610,0.005000
1050,0.271713,-6.394902,0.005000
1060,0.401135,-6.204092,0.005000
1070,0.285854,-6.014040,0.005000
1080,0.351322,-6.176155,0.005000
1090,0.301706,-5.795675,0.005000
1100,0.262441,-5.741972,0.005000
1110,0.302534,-5.601497,0.005000
1120,0.404905,-5.626521,0.005000
1130,0.302685,-5.431450,0.005000
1140,0.315297,-5.234532,0.005000
1150,0.295722,-5.109005,0.005000
1160,0.270494,-4.976388,0.005000
1170,0.319346,-5.181898,0.005000
1180,0.197625,-4.892783,0.005000
1190,0.118655,-5.008855,0.005000
