step,critic_loss,actor_loss,tau
0,12.727840,-0.397145,0.005000
10,13.959318,-0.729936,0.005000
20,7.674676,-1.622645,0.005000
30,4.751035,-2.829027,0.005000
40,3.389230,-3.892014,0.005000
50,3.254610,-4.853269,0.005000
60,1.579064,-5.744576,0.005000
70,1.755670,-6.654985,0.005000
80,1.166272,-7.461463,0.005000
90,1.344195,-7.678453,0.005000
100,0.789145,-8.404005,0.005000
110,0.427596,-9.116243,0.005000
120,0.782783,-9.606960,0.005000
130,0.378350,-10.124510,0.005500
140,0.738984,-10.729998,0.005000
150,0.536616,-11.138267,0.005000
160,0.681337,-11.741590,0.005000
170,0.569038,-12.283610,0.005000
180,1.070827,-12.713110,0.005000
190,1.119085,-13.460905,0.005000
200,1.309446,-13.979536,0.005000
210,1.317565,-14.604170,0.005000
220,2.427238,-15.120033,0.005000
230,1.429943,-15.687332,0.005000
240,2.319356,-16.296669,0.005000
250,2.470252,-16.663383,0.005000
260,1.978837,-17.106518,0.005000
270,1.813394,-17.490768,0.005000
280,2.461220,-18.063454,0.005000
290,2.346419,-18.462315,0.005000
300,1.818223,-18.643192,0.005000
310,1.333777,-19.156244,0.005000
320,1.988122,-19.546709,0.005000
330,1.219355,-20.090290,0.005000
340,2.038401,-20.447144,0.005000
350,2.520198,-20.972687,0.005000
360,1.876169,-21.420338,0.005000
370,1.199025,-21.987167,0.005000
380,1.960503,-22.339249,0.005000
390,1.885562,-22.488792,0.005000
400,1.922788,-22.996674,0.005000
410,1.619997,-23.701057,0.005000
420,1.600608,-23.603231,0.005000
430,1.742804,-24.754742,0.005000
440,2.301622,-24.708248,0.005000
450,2.455353,-25.547066,0.005000
460,2.027755,-25.592386,0.005000
470,5.730196,-26.067257,0.005000
480,2.333629,-26.490929,0.005000
490,2.148292,-26.768131,0.005000
500,1.688357,-27.669647,0.005000
510,2.918853,-27.686485,0.005000
520,3.809142,-28.427509,0.005000
530,2.520926,-28.467144,0.005000
540,1.881657,-28.732351,0.005000
550,3.390239,-29.382977,0.005000
560,5.138668,-29.332357,0.005000
570,1.774503,-29.734425,0.005000
580,2.910611,-30.149416,0.005000
590,1.679619,-31.069166,0.005000
600,6.295271,-30.515133,0.005000
610,5.212189,-31.127491,0.005000
620,4.139012,-31.232029,0.005000
630,2.622309,-31.543282,0.005000
640,4.310483,-32.519642,0.005000
650,2.285270,-32.765656,0.005000
660,3.229183,-32.669094,0.005000
670,4.767794,-33.044323,0.005000
680,3.957035,-34.000427,0.005000
690,2.529824,-33.453796,0.005000
700,5.175886,-34.290306,0.005000
710,5.381434,-34.838928,0.005000
720,2.741986,-34.729675,0.005000
730,2.921390,-33.802311,0.005000
740,4.093789,-34.855473,0.005000
750,5.642794,-36.399406,0.005000
760,4.792026,-35.581020,0.005000
770,6.335586,-35.790829,0.005000
780,6.593659,-35.924435,0.005000
790,2.327355,-36.923801,0.005000
800,4.387051,-36.102341,0.005000
810,7.130983,-36.816338,0.005000
820,2.616322,-37.946217,0.005000
830,6.291267,-37.207249,0.005000
840,2.378160,-38.333099,0.005000
850,8.394691,-38.693367,0.005000
860,3.372374,-38.327206,0.005000
870,5.394399,-37.628738,0.005000
880,12.274784,-39.314682,0.005000
890,10.532882,-39.016685,0.005000
900,7.272382,-38.218365,0.005000
910,10.842829,-38.903587,0.005000
920,4.347448,-39.325386,0.005000
930,6.250488,-39.500801,0.005000
940,13.689993,-40.046600,0.005000
950,5.915343,-40.136585,0.005000
960,9.002394,-40.893410,0.005000
970,9.368614,-40.530525,0.005000
980,9.684031,-40.750214,0.005000
990,11.429983,-41.669395,0.005000
1000,10.067590,-41.240673,0.005000
1010,8.394670,-40.693966,0.005000
1020,6.283305,-42.191536,0.005000
1030,12.531250,-41.660851,0.005000
1040,4.672202,-41.371712,0.005000
1050,7.419986,-41.775951,0.005000
1060,10.590927,-43.552559,0.005000
1070,11.274107,-43.473881,0.005000
1080,14.206032,-44.302193,0.005000
1090,13.498824,-42.705933,0.005000
1100,21.653978,-42.691101,0.005000
1110,6.451044,-43.000565,0.005000
1120,10.840991,-42.473434,0.005000
1130,16.224947,-44.052505,0.005000
1140,13.164056,-43.109188,0.005000
1150,12.008108,-43.732002,0.005000
1160,11.110548,-45.075897,0.005000
1170,9.465408,-44.713303,0.005000
1180,12.540794,-43.552269,0.005000
1190,18.182755,-44.611420,0.005000
