step,critic_loss,actor_loss,tau
0,13.233908,-0.394316,0.005000
10,13.985466,-0.725416,0.005000
20,7.739260,-1.639930,0.005000
30,3.927177,-2.865596,0.005000
40,2.779687,-3.911941,0.005000
50,2.490374,-4.893406,0.005000
60,1.825622,-5.826010,0.005000
70,1.758922,-6.597095,0.005000
80,1.205663,-7.449161,0.005000
90,0.976145,-7.681437,0.005000
100,0.800032,-8.391258,0.005000
110,0.515211,-9.059259,0.005000
120,0.637648,-9.594773,0.005000
130,0.447264,-10.193800,0.005000
140,0.511488,-10.695311,0.005000
150,0.546368,-11.068832,0.005000
160,0.831400,-11.671524,0.005000
170,0.773177,-12.153012,0.005000
180,1.342428,-12.733741,0.005000
190,1.197812,-13.399714,0.005000
200,1.456617,-13.867933,0.005000
210,1.512092,-14.435905,0.005000
220,1.885712,-15.079798,0.005000
230,2.234583,-15.708181,0.005000
240,1.727737,-16.247822,0.005000
250,2.612069,-16.653683,0.005000
260,2.125968,-17.057667,0.005000
270,2.509956,-17.741932,0.005000
280,2.606236,-18.160973,0.005000
290,1.961832,-18.426224,0.005000
300,2.355153,-18.737167,0.005000
310,2.292883,-19.056532,0.005000
320,2.455287,-19.890255,0.005000
330,1.560048,-19.974733,0.005000
340,1.290541,-20.636751,0.005000
350,2.588274,-21.078239,0.005000
360,2.360705,-21.407482,0.005000
370,1.293667,-22.031956,0.005000
380,1.482318,-22.557978,0.005000
390,1.765448,-22.938877,0.005000
400,2.188447,-22.948772,0.005000
410,3.386790,-23.501772,0.005000
420,3.501911,-24.247639,0.005000
430,3.176851,-24.929344,0.005000
440,1.747439,-25.049164,0.005000
450,1.297168,-25.826754,0.005000
460,3.018864,-26.467005,0.005000
470,2.686510,-26.701866,0.005000
480,3.109346,-27.199099,0.005000
490,1.797237,-27.386482,0.005000
500,1.786838,-28.288898,0.005000
510,3.358244,-28.315346,0.005000
520,2.192056,-28.279957,0.005000
530,2.311258,-28.995995,0.005000
540,1.029615,-29.557835,0.005000
550,1.253407,-29.837048,0.005000
560,2.095226,-30.312057,0.005000
570,3.539469,-30.586617,0.005000
580,3.081357,-30.704613,0.005000
590,4.572517,-31.438326,0.005000
600,3.774817,-31.022987,0.005000
610,4.484205,-32.239223,0.005000
620,1.938279,-32.071518,0.005000
630,5.264327,-32.552143,0.005000
640,4.010048,-32.854828,0.005000
650,4.868882,-33.462616,0.005000
660,2.471706,-33.693638,0.005000
670,2.302062,-34.551575,0.005000
680,4.355913,-35.030182,0.005000
690,6.457246,-34.175625,0.005000
700,2.474822,-35.599674,0.005000
710,2.346631,-35.735725,0.005000
720,2.082165,-35.967285,0.005000
730,4.888216,-35.347519,0.005000
740,4.469457,-36.294827,0.005000
750,4.448352,-37.425018,0.005000
760,5.829452,-36.902649,0.005000
770,8.867549,-37.461864,0.005000
780,5.794277,-37.852585,0.005000
790,6.417099,-37.849712,0.005000
800,5.468610,-37.386192,0.005000
810,7.988736,-38.313023,0.005000
820,7.413658,-37.298508,0.005000
830,7.772294,-38.033566,0.005000
840,3.656267,-38.935936,0.005000
850,3.228621,-39.654816,0.005000
860,7.493901,-38.347424,0.005000
870,6.747107,-38.566814,0.005000
880,11.454298,-39.817684,0.005000
890,12.081743,-39.970200,0.005000
900,11.851281,-40.152527,0.005000
910,4.119813,-40.370193,0.005000
920,10.630176,-39.951302,0.005000
930,5.061055,-40.164284,0.005000
940,10.142151,-39.795219,0.005000
950,5.580021,-40.295280,0.005000
960,6.676512,-40.627914,0.005000
970,9.081396,-39.405010,0.005000
980,7.395602,-39.958923,0.005000
990,14.263746,-41.087921,0.005000
1000,9.919960,-40.551140,0.005000
1010,11.138857,-40.733379,0.005000
1020,6.234188,-42.593094,0.005000
1030,10.735184,-41.679436,0.005000
1040,5.180334,-40.563965,0.005000
1050,9.751812,-41.103764,0.005000
1060,10.417311,-42.750240,0.005000
1070,9.808243,-43.332184,0.005000
1080,14.715429,-44.285423,0.005000
1090,15.463510,-43.648552,0.005000
1100,25.890278,-41.562012,0.005000
1110,10.111795,-43.565208,0.005000
1120,10.857491,-41.576950,0.005000
1130,16.735985,-42.397301,0.005000
1140,15.962288,-43.032959,0.005000
1150,13.068882,-44.350708,0.005000
1160,6.100080,-44.902401,0.005000
1170,7.995942,-44.704174,0.005000
1180,11.887336,-43.892502,0.005000
1190,21.856987,-43.591690,0.005000
