step,critic_loss,actor_loss,tau
0,1.681676,-0.403363,0.005000
10,1.302952,-0.427230,0.005000
20,0.596401,-0.479520,0.005000
30,0.240350,-0.717607,0.006000
40,0.294549,-0.841383,0.006050
50,0.390731,-0.796741,0.005000
60,0.242738,-0.880771,0.006300
70,0.699727,-0.884542,0.023649
80,0.105041,-1.149375,0.187857
90,0.333959,-0.968565,0.159722
100,0.740255,-1.210343,0.140046
110,0.142848,-1.406527,0.200000
120,0.342238,-1.286453,0.159722
130,0.147776,-1.581841,0.200000
140,0.154625,-1.379088,0.191667
150,0.459109,-1.278203,0.140046
160,0.382310,-1.291308,0.183333
170,0.296784,-1.441515,0.191667
180,0.232751,-1.266457,0.191667
190,0.313546,-1.709132,0.200000
200,0.231844,-1.623095,0.191667
210,0.258389,-1.540161,0.200000
220,0.333982,-1.771751,0.183333
230,0.250111,-1.942597,0.152778
240,0.276369,-2.205796,0.061398
250,0.264372,-2.192183,0.035531
260,0.420043,-2.560096,0.017135
270,0.316876,-2.658027,0.009015
280,0.380791,-2.197351,0.005000
290,0.501274,-2.729592,0.005000
300,0.347213,-2.767463,0.005000
310,0.325287,-2.675581,0.005000
320,0.401651,-2.652831,0.005000
330,0.512274,-2.877766,0.005000
340,0.260238,-3.035190,0.006300
350,0.478802,-2.361347,0.005000
360,0.670562,-3.231494,0.005000
370,0.386524,-3.141179,0.005250
380,0.363425,-3.360249,0.005000
390,0.269075,-2.954369,0.005500
400,0.313853,-2.973415,0.005750
410,0.278663,-3.589265,0.005750
420,0.310341,-3.491516,0.005750
430,0.412934,-3.325021,0.005250
440,0.252078,-3.308048,0.005750
450,0.505409,-3.937625,0.005000
460,0.318674,-3.293617,0.005250
470,0.596563,-3.854829,0.005000
480,0.315992,-3.605991,0.005750
490,0.394701,-3.465778,0.005000
500,0.296743,-3.663772,0.005750
510,0.232918,-3.640804,0.006300
520,0.266428,-3.636680,0.005500
530,0.311931,-4.236586,0.005000
540,0.365259,-4.117886,0.005750
550,0.290787,-3.671693,0.005000
560,0.361324,-3.712771,0.005500
570,0.279132,-3.921599,0.008640
580,0.325425,-4.076712,0.005000
590,0.493772,-3.835027,0.005250
600,0.190035,-3.608042,0.008052
610,0.282668,-3.680204,0.012442
620,0.386513,-3.926976,0.088590
630,0.303815,-3.820446,0.110918
640,0.209393,-3.755155,0.009465
650,0.506393,-3.996480,0.007199
660,0.835041,-3.161436,0.005000
670,0.391000,-3.685851,0.005500
680,0.436300,-3.865423,0.005000
690,0.383073,-3.973551,0.005250
700,0.875300,-4.142606,0.005800
710,0.746643,-4.017881,0.005000
720,0.278771,-4.005701,0.013686
730,0.601579,-3.713991,0.010973
740,0.249700,-4.038794,0.006900
750,0.318060,-3.754846,0.005000
760,0.420248,-3.702729,0.005000
770,0.329197,-4.178517,0.013064
780,0.192764,-3.792307,0.017319
790,0.212761,-3.538990,0.025799
800,0.295883,-3.494091,0.067406
810,0.342037,-3.878488,0.010368
820,0.373665,-3.818546,0.005750
830,0.412521,-3.599702,0.005000
840,0.479664,-3.745736,0.005000
850,0.212579,-3.657465,0.005500
860,0.238838,-3.639697,0.006600
870,0.199981,-3.665560,0.005750
880,0.403639,-4.180719,0.005000
890,0.490422,-4.176408,0.023649
900,0.653621,-4.000284,0.005000
910,0.388427,-3.836936,0.005250
920,0.126384,-3.948805,0.039318
930,0.319079,-3.937477,0.191667
940,0.516889,-4.608645,0.088413
950,0.203667,-4.293523,0.134259
960,0.277208,-4.182407,0.127315
970,0.204441,-4.282762,0.191667
980,0.314096,-3.776412,0.127315
990,0.232033,-3.944005,0.191667
1000,0.209375,-3.930825,0.200000
1010,0.181911,-4.034150,0.200000
1020,0.374150,-3.853342,0.183333
1030,0.238036,-3.360813,0.200000
1040,0.243657,-3.212628,0.200000
1050,0.201559,-3.385678,0.200000
1060,0.153321,-4.073061,0.200000
1070,0.308699,-3.425364,0.200000
1080,0.146973,-3.197368,0.200000
1090,0.136096,-3.375630,0.200000
1100,0.167103,-3.302423,0.200000
1110,0.152757,-2.698653,0.200000
1120,0.256113,-2.948487,0.200000
1130,0.490588,-2.510652,0.191667
1140,0.206007,-2.559383,0.200000
1150,0.130738,-2.736965,0.200000
1160,0.131917,-2.705840,0.200000
1170,0.183084,-2.641916,0.200000
1180,0.291436,-2.373203,0.175000
1190,0.178559,-2.143739,0.200000
