step,critic_loss,actor_loss,tau
0,1.559130,-0.391964,0.005000
10,1.321604,-0.427032,0.005000
20,0.631022,-0.481495,0.005000
30,0.252015,-0.699834,0.005000
40,0.341670,-0.842255,0.005000
50,0.368212,-0.761497,0.005000
60,0.282820,-0.866025,0.005000
70,0.718056,-0.864627,0.005000
80,0.146712,-1.040282,0.005000
90,0.393540,-0.730198,0.005000
100,1.063745,-1.080887,0.005000
110,0.127147,-1.015081,0.005000
120,0.425141,-1.075558,0.005000
130,0.145199,-1.248159,0.005000
140,0.274082,-0.980295,0.005000
150,0.820129,-0.721749,0.005000
160,1.111613,-1.090136,0.005000
170,0.780253,-0.943029,0.005000
180,0.460179,-0.750780,0.005000
190,0.429371,-0.904744,0.005000
200,0.613940,-1.029059,0.005000
210,0.383647,-0.946434,0.005000
220,0.484347,-0.999777,0.005000
230,0.387101,-0.880868,0.005000
240,0.128391,-0.982388,0.005000
250,0.244252,-0.870434,0.005000
260,0.083249,-1.377059,0.005000
270,0.517749,-1.420511,0.005000
280,0.356789,-1.195092,0.005000
290,0.383163,-1.026517,0.005000
300,0.072165,-1.359239,0.005000
310,0.228413,-1.215017,0.005000
320,0.082031,-1.532797,0.005000
330,0.065705,-1.493645,0.005000
340,0.188933,-1.338134,0.005000
350,0.488425,-1.741326,0.005000
360,0.137283,-1.627470,0.005000
370,0.093066,-1.570294,0.005000
380,0.241508,-1.537665,0.005000
390,0.094859,-1.578705,0.005000
400,0.270046,-1.366093,0.005000
410,0.144030,-2.102467,0.005000
420,0.092601,-1.838215,0.005000
430,0.145467,-1.941289,0.005000
440,0.175629,-1.971761,0.005000
450,0.217548,-2.027578,0.005000
460,0.190271,-1.895477,0.005000
470,0.308769,-2.127105,0.005000
480,0.091525,-2.038784,0.005000
490,0.211310,-2.018137,0.005000
500,0.143116,-2.375549,0.005000
510,0.152539,-2.489795,0.005000
520,0.132979,-2.317876,0.005000
530,0.142949,-2.505494,0.005000
540,0.252043,-2.506247,0.005000
550,0.147558,-2.396871,0.005000
560,0.160974,-2.467291,0.005000
570,0.338782,-2.930701,0.005000
580,0.136706,-2.660526,0.005000
590,0.307249,-2.725605,0.005000
600,0.340227,-3.119045,0.005000
610,0.283613,-2.876207,0.005000
620,0.336998,-3.183233,0.005000
630,0.231107,-3.173678,0.005000
640,0.329313,-2.701781,0.005000
650,0.446087,-3.292466,0.005000
660,0.415597,-3.510166,0.005000
670,0.176033,-3.488659,0.005000
680,0.279783,-3.558458,0.005000
690,0.248527,-3.595705,0.005000
700,0.389196,-3.949386,0.005000
710,0.929275,-3.588539,0.005000
720,0.264649,-4.177178,0.005000
730,0.285372,-4.465277,0.005000
740,0.357456,-4.784167,0.005000
750,0.508617,-4.361752,0.005000
760,0.368344,-4.892489,0.005000
770,0.910201,-4.927329,0.005000
780,0.315508,-4.566318,0.005000
790,0.446585,-5.063203,0.005000
800,0.368922,-5.072076,0.005000
810,0.266358,-5.274331,0.005000
820,0.558085,-5.585463,0.005000
830,0.400552,-5.643114,0.005000
840,0.261708,-5.772159,0.005000
850,0.395130,-5.576775,0.005000
860,0.369774,-5.750550,0.005000
870,0.504755,-5.987315,0.005000
880,0.809483,-6.213472,0.005000
890,0.251907,-6.190759,0.005000
900,0.773791,-5.740839,0.005000
910,0.358055,-6.411764,0.005000
920,0.459418,-6.400262,0.005000
930,0.336115,-5.729471,0.005000
940,0.674581,-6.475074,0.005000
950,0.450940,-5.890273,0.005000
960,0.711142,-6.247051,0.005000
970,0.511002,-6.392744,0.005000
980,0.603969,-6.571302,0.005000
990,0.384033,-6.482134,0.005000
1000,0.327975,-6.155494,0.005000
1010,0.321716,-6.604784,0.005000
1020,0.477705,-6.387061,0.005000
1030,0.465465,-6.322906,0.005000
1040,0.755076,-6.292580,0.005000
1050,0.310992,-6.582326,0.005000
1060,0.309606,-6.733990,0.005000
1070,0.467587,-6.512968,0.005000
1080,0.392874,-6.453238,0.005000
1090,0.404389,-6.609043,0.005000
1100,0.501999,-6.369928,0.005000
1110,0.489994,-6.256231,0.005000
1120,0.443807,-6.777843,0.005000
1130,0.361341,-6.728461,0.005000
1140,0.263919,-6.296339,0.005000
1150,0.725478,-6.918984,0.005000
1160,0.327802,-6.932839,0.005000
1170,0.237024,-6.930214,0.005000
1180,0.410763,-6.283051,0.005000
1190,0.429893,-6.475395,0.005000
