step,critic_loss,actor_loss,tau
0,3.064303,-0.467954,0.005000
5,2.519595,-0.535653,0.005000
10,2.285401,-0.677728,0.005000
15,2.425153,-0.839413,0.005000
20,1.642947,-1.064770,0.005000
25,1.619585,-1.189703,0.005000
30,1.535516,-1.466628,0.005000
35,1.273459,-1.747120,0.005000
40,0.840228,-1.926027,0.005000
45,0.972474,-1.913079,0.005000
50,0.961181,-2.170593,0.005000
55,0.938348,-2.346783,0.005000
60,0.701070,-2.246119,0.005000
65,0.680267,-2.499633,0.005000
70,0.557580,-2.462532,0.005000
75,0.752205,-2.831001,0.005000
80,0.497379,-2.867548,0.005000
85,0.477353,-2.907877,0.005000
90,0.456957,-2.886221,0.005000
95,0.420660,-3.206930,0.005000
100,0.287858,-3.039541,0.005000
105,0.290822,-3.146864,0.005000
110,0.492468,-3.419002,0.005000
115,0.427432,-3.414498,0.005000
120,0.626867,-3.702299,0.005000
125,0.248574,-3.430475,0.005000
130,0.355621,-3.894740,0.005000
135,0.392952,-3.518599,0.005000
140,0.438461,-3.829524,0.005000
145,0.278398,-3.901483,0.005000
150,0.142614,-3.641802,0.005000
155,0.120719,-3.863440,0.005000
160,0.198756,-4.133325,0.005000
165,0.148164,-3.920401,0.005000
170,0.108634,-3.818588,0.005000
175,0.334784,-4.094693,0.005000
180,0.105222,-4.068283,0.005000
185,0.428077,-4.300134,0.005000
190,0.612127,-4.277764,0.005000
195,0.252782,-4.622652,0.005000
200,0.142706,-4.051426,0.005000
205,0.243698,-4.529315,0.005000
210,0.105687,-4.391193,0.005000
215,0.408616,-4.813775,0.005000
220,0.521002,-5.008265,0.005000
225,0.531906,-4.922863,0.005000
230,0.245297,-4.983828,0.005000
235,0.373607,-4.678868,0.005000
240,0.405582,-5.206926,0.005000
245,0.501483,-5.174418,0.005000
250,0.280311,-5.187256,0.005000
255,0.269930,-5.202620,0.005000
260,0.785542,-5.359225,0.005000
265,0.343222,-5.367611,0.005000
270,0.840596,-5.824839,0.005000
275,0.665835,-5.886469,0.005000
280,0.465886,-5.400868,0.005000
285,1.067741,-5.775545,0.005000
290,1.130192,-6.374055,0.005000
295,0.827341,-5.772624,0.005000
